"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.01","10",""
"2000","Saskatchewan","0.10","960",""
"2000","Quebec","0.48","35100",""
"2000","Prince Edward Island","0.07","90",""
"2000","Ontario","0.44","51740",""
"2000","Nova Scotia","0.11","1040",""
"2000","Newfoundland and Labrador","0.05","280",""
"2000","New-Brunswick","0.08","570",""
"2000","Manitoba","0.12","1400",""
"2000","British-Columbia","0.22","9030",""
"2000","Alberta","0.15","4500",""
"2001","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2001","Saskatchewan","0.10","960","960"
"2001","Quebec","0.52","38540","35100"
"2001","Prince Edward Island","0.08","110","90"
"2001","Ontario","0.48","57250","51740"
"2001","Nova Scotia","0.11","1050","1040"
"2001","Newfoundland and Labrador","0.05","280","280"
"2001","New-Brunswick","0.08","620","570"
"2001","Manitoba","0.13","1520","1400"
"2001","British-Columbia","0.25","10090","9030"
"2001","Alberta","0.17","5310","4500"
"2002","Yukon, Northwest Territories and Nunavut","0.00","0","10"
"2002","Saskatchewan","0.09","900","960"
"2002","Quebec","0.54","40510","38540"
"2002","Prince Edward Island","0.07","90","110"
"2002","Ontario","0.48","57940","57250"
"2002","Nova Scotia","0.12","1110","1050"
"2002","Newfoundland and Labrador","0.06","300","280"
"2002","New-Brunswick","0.09","670","620"
"2002","Manitoba","0.13","1520","1520"
"2002","British-Columbia","0.24","9690","10090"
"2002","Alberta","0.18","5730","5310"
"2003","Yukon, Northwest Territories and Nunavut","0.02","20","0"
"2003","Saskatchewan","0.11","1070","900"
"2003","Quebec","0.57","42760","40510"
"2003","Prince Edward Island","0.08","110","90"
"2003","Ontario","0.50","61880","57940"
"2003","Nova Scotia","0.12","1130","1110"
"2003","Newfoundland and Labrador","0.09","450","300"
"2003","New-Brunswick","0.10","780","670"
"2003","Manitoba","0.14","1610","1520"
"2003","British-Columbia","0.27","11110","9690"
"2003","Alberta","0.20","6320","5310"
"2004","Yukon, Northwest Territories and Nunavut","0.05","50","20"
"2004","Saskatchewan","0.12", "1210","1070"
"2004","Quebec","0.60","45300","42760"
"2004","Prince Edward Island","0.09","130","110"
"2004","Ontario","0.53","66210","61880"
"2004","Nova Scotia","0.15","1440","1130"
"2004","Newfoundland and Labrador","0.09","490","450"
"2004","New-Brunswick","0.12","890","780"
"2004","Manitoba","0.16","1860","1610"
"2004","British-Columbia","0.32","13170","11110"
"2004","Alberta","0.23","7470","6320"
"2005","Yukon, Northwest Territories and Nunavut","0.04","40","50"
"2005","Saskatchewan","0.12","1200","1210"
"2005","Quebec","0.59","44940","45300"
"2005","Prince Edward Island","0.10","170","130"
"2005","Ontario","0.55","69100","66210"
"2005","Nova Scotia","0.15","1420","1440"
"2005","Newfoundland and Labrador","0.10","510","490"
"2005","New-Brunswick","0.10","960","890"
"2005","Manitoba","0.17","2030","1860"
"2005","British-Columbia","0.34","14420","13170"
"2005","Alberta","0.22","7250","7470"
"2006","Yukon, Northwest Territories and Nunavut","0.08","80","40"
"2006","Saskatchewan","0.13","1320","1200"
"2006","Quebec","0.64","48940","44940"
"2006","Prince Edward Island","0.15","200","170"
"2006","Ontario","0.58","74050","69100"
"2006","Nova Scotia","0.15","1420","1420"
"2006","Newfoundland and Labrador","0.14","720","510"
"2006","New-Brunswick","0.18","1330","960"
"2006","Manitoba","0.17","2030","2030"
"2006","British-Columbia","0.33","14240","14420"
"2006","Alberta","0.21","7400","7250"
"2007","Yukon, Northwest Territories and Nunavut","0.07","70","80"
"2007","Saskatchewan","0.14","1460","1320"
"2007","Quebec","0.69","53310","48940"
"2007","Prince Edward Island","0.15","210",200"
"2007","Ontario","0.63","80550","74050"
"2007","Nova Scotia","0.17","1580","1420"
"2007","Newfoundland and Labrador","0.15","770","720"
"2007","New-Brunswick","0.21","1590","1330"
"2007","Manitoba","0.20","2340","2030"
"2007","British-Columbia","0.39","16930","14240"
"2007","Alberta","0.25","8890","7400"
"2008","Yukon, Northwest Territories and Nunavut","0.05","50","70"
"2008","Saskatchewan","0.12","1460","1460"
"2008","Quebec","0.75","58090","53310"
"2008","Prince Edward Island","0.16","230","210"
"2008","Ontario","0.62","80090","80550"
"2008","Nova Scotia","0.19","1820","1580"
"2008","Newfoundland and Labrador","0.13","680","770"
"2008","New-Brunswick","0.17","1280","1590"
"2008","Manitoba","0.20","2370","2340"
"2008","British-Columbia","0.38","16810","16930"
"2008","Alberta","0.27","9880","8890"
"2009","Yukon, Northwest Territories and Nunavut","0.04","40","50"
"2009","Saskatchewan","0.14","1470","1460"
"2009","Quebec","0.63","49510","58090"
"2009","Prince Edward Island","0.17","240","230"
"2009","Ontario","0.55","71650","80090"
"2009","Nova Scotia","0.17","1630","1820"
"2009","Newfoundland and Labrador","0.12","640","680"
"2009","New-Brunswick","0.18","1380","1280"
"2009","Manitoba","0.18","2140","2370"
"2009","British-Columbia","0.39","17460","16810"
"2009","Alberta","0.27","9880","9880"
"2010","Yukon, Northwest Territories and Nunavut","0.03","30","40"
"2010","Saskatchewan","0.15","1600","1470"
"2010","Quebec","0.58","46350","49510"
"2010","Prince Edward Island","0.07","190","240"
"2010","Ontario","0.52","68200","71650"
"2010","Nova Scotia","0.12","1160","1630"
"2010","Newfoundland and Labrador","0.12","630","640"
"2010","New-Brunswick","0.15","1100","1380"
"2010","Manitoba","0.18","2150","3140"
"2010","British-Columbia","0.33","14660","17460"
"2010","Alberta","0.22","8210","9880"
"2011","Yukon, Northwest Territories and Nunavut","0.07","70","30"
"2011","Saskatchewan","0.18","1890","1600"
"2011","Quebec","0.59","47650","46350"
"2011","Prince Edward Island","0.15","210","190"
"2011","Ontario","0.51","68120","68200"
"2011","Nova Scotia","0.13","1260","1160"
"2011","Newfoundland and Labrador","0.14","720","630"
"2011","New-Brunswick","0.16","1190","1100"
"2011","Manitoba","0.16","2020","2150"
"2011","British-Columbia","0.36","16400","14660"
"2011","Alberta","0.25","9390","8210"
"2012","Yukon, Northwest Territories and Nunavut","0.04","40","70"
"2012","Saskatchewan","0.15","1630","1890"
"2012","Quebec","0.55","44250","47650"
"2012","Prince Edward Island","0.17","240","210"
"2012","Ontario","0.48","64530","68120"
"2012","Nova Scotia","0.11","1020","1260"
"2012","Newfoundland and Labrador","0.13","660","720"
"2012","New-Brunswick","0.12","930","1190"
"2012","Manitoba","0.16","2000","2020"
"2012","British-Columbia","0.34","15560","16400"
"2012","Alberta","0.22","8600","9390"
"2013","Yukon, Northwest Territories and Nunavut","0.05","50","40"
"2013","Saskatchewan","0.14","1540","1630"
"2013","Quebec","0.53","43150","44250"
"2013","Prince Edward Island","0.15","220","240"
"2013","Ontario","0.47","63720","64530"
"2013","Nova Scotia","0.09","810","1020"
"2013","Newfoundland and Labrador","0.10","","660"
"2013","New-Brunswick","0.09","720","930"
"2013","Manitoba","0.15","1870","2000"
"2013","British-Columbia","0.34","16040","15560"
"2013","Alberta","0.25","10000","8600"